arousal,valence,speaker,starttime,endtime,duration
-0.022925,-0.0088257,dev_1,0.0,0.0,0.0
0.014408400000000002,0.027174400000000005,dev_1,1.33,1.49,0.15999999999999992
0.01540825,0.03138275,dev_1,1.51,1.79,0.28
0.030408277777777777,0.06719283333333333,dev_1,2.01,2.68,0.6700000000000004
0.05763066666666666,0.07950766666666667,dev_1,2.74,2.82,0.07999999999999963
0.005908439999999999,0.18450999999999998,dev_1,5.79,6.15,0.3600000000000003
0.0037418,0.18284,dev_1,6.17,6.28,0.11000000000000032
0.05114919999999999,0.16098777777777779,dev_1,6.42,6.75,0.33000000000000007
0.12124499999999999,0.13700500000000002,dev_1,6.91,6.94,0.03000000000000025
0.12948444444444443,0.1213577777777778,dev_1,7.01,7.34,0.33000000000000007
0.14670444444444444,0.11617000000000001,dev_1,7.36,7.71,0.34999999999999964
0.16874333333333333,0.11450999999999999,dev_1,7.74,7.83,0.08999999999999986
0.2107671428571429,0.11343642857142859,dev_1,7.93,8.47,0.5400000000000009
0.22235666666666667,0.11284000000000001,dev_1,8.64,8.86,0.21999999999999886
0.23041,0.11284000000000001,dev_1,9.06,9.24,0.17999999999999972
0.23152333333333333,0.11284000000000001,dev_1,9.31,9.38,0.07000000000000028
0.2327914285714286,0.11307857142857144,dev_1,9.42,9.67,0.25
0.24214204000000003,0.13457384,dev_1,9.71,10.68,0.9699999999999989
0.23151933333333333,0.166174,dev_1,12.68,12.75,0.07000000000000028
0.219456,0.16617400000000002,dev_1,12.79,13.03,0.2400000000000002
0.20540833333333333,0.166174,dev_1,13.1,13.2,0.09999999999999964
-0.132925,-0.010492399999999999,dev_1,27.94,27.98,0.03999999999999915
-0.2520915,-0.022159,dev_1,30.13,30.18,0.05000000000000071
-0.252925,-0.022159,dev_1,30.26,30.28,0.019999999999999574
-0.252925,-0.022159,dev_1,30.33,30.37,0.0400000000000027
-0.252925,-0.02299235,dev_1,30.39,30.41,0.019999999999999574
-0.252925,-0.062159000000000006,dev_1,33.04,33.05,0.00999999999999801
-0.252925,-0.0638257,dev_1,33.1,33.12,0.01999999999999602
-0.254592,-0.0638257,dev_1,33.24,33.28,0.03999999999999915
-0.232925,-0.05182568,dev_1,37.77,37.94,0.1699999999999946
-0.232925,-0.0538257,dev_1,37.97,38.0,0.030000000000001137
-0.17103593333333336,0.06561874000000001,dev_1,39.75,40.28,0.5300000000000011
-0.13192520000000002,0.02200765,dev_1,42.32,42.65,0.3299999999999983
-0.13125799999999999,0.02034095,dev_1,42.69,42.74,0.05000000000000426
-0.0960498625,0.013465975,dev_1,42.8,43.05,0.25
-0.07625816666666667,0.013396533333333334,dev_1,43.11,43.19,0.0799999999999983
-0.061258175,0.014507599999999999,dev_1,43.2,43.36,0.1599999999999966
-0.030543895714285712,0.015460000000000002,dev_1,43.39,43.61,0.21999999999999886
0.007075163333333333,0.0161743,dev_1,43.66,43.76,0.10000000000000142
0.0299918375,0.0199243125,dev_1,43.77,44.06,0.28999999999999915
0.1477271304347826,0.027116339130434784,dev_1,44.21,45.11,0.8999999999999986
0.1817418,0.02650764,dev_1,45.15,45.28,0.13000000000000256
0.18800122222222224,0.028396533333333338,dev_1,45.29,45.6,0.3100000000000023
0.190825,0.03034095,dev_1,45.64,45.74,0.10000000000000142
0.19374166666666667,0.032840966666666666,dev_1,45.75,45.83,0.0799999999999983
0.19651933333333335,0.0372854,dev_1,45.85,45.93,0.0799999999999983
0.20074160000000002,0.04517428,dev_1,46.08,46.23,0.14999999999999858
0.20659880952380955,0.04466636190476191,dev_1,46.34,47.14,0.7999999999999972
0.2130748,0.041174300000000004,dev_1,47.16,47.28,0.12000000000000455
0.22040800000000002,0.0395076,dev_1,47.45,47.54,0.0899999999999963
0.23040828571428568,0.0402219,dev_1,47.64,47.84,0.20000000000000284
0.25004600000000005,0.048927930434782614,dev_1,47.88,48.77,0.8900000000000006
0.26025700000000007,0.03450763636363636,dev_1,49.06,49.48,0.4199999999999946
0.262075,0.0261743,dev_1,49.54,49.58,0.03999999999999915
0.261449875,0.022840975,dev_1,49.63,49.89,0.259999999999998
0.26513041666666665,0.023396516666666662,dev_1,50.06,50.5,0.4399999999999977
0.25636057142857144,0.03831714285714286,dev_1,50.91,51.13,0.22000000000000597
0.2491963636363637,0.043598554545454554,dev_1,51.25,51.66,0.4099999999999966
0.26024159999999996,0.05450764,dev_1,51.75,52.1,0.3500000000000014
0.184075,0.0901743,dev_1,53.7,53.85,0.14999999999999858
0.148075,0.08984094000000001,dev_1,53.88,54.06,0.17999999999999972
0.16624175,0.089924275,dev_1,54.08,54.17,0.09000000000000341
0.25124175,0.09075762500000001,dev_1,54.23,54.33,0.10000000000000142
0.28828709090909094,0.10056816363636364,dev_1,54.39,54.77,0.38000000000000256
0.288742,0.106591,dev_1,54.79,54.91,0.11999999999999744
0.2935035714285714,0.11046,dev_1,54.92,55.19,0.269999999999996
0.2948526666666667,0.11339666666666669,dev_1,55.21,55.3,0.0899999999999963
0.29707483333333334,0.11423,dev_1,55.32,55.49,0.1700000000000017
0.2981356363636363,0.11890181818181818,dev_1,55.62,56.03,0.4100000000000037
0.29596375,0.116313,dev_1,56.07,56.51,0.4399999999999977
0.2464082,0.11217440000000001,dev_1,58.11,58.26,0.14999999999999858
0.24040850000000002,0.107841,dev_1,58.27,58.32,0.04999999999999716
0.23276123529411766,0.1013702588235294,dev_1,58.36,58.99,0.6300000000000026
0.25124166666666664,0.09950760000000002,dev_1,59.01,59.21,0.20000000000000284
0.2529085,0.0995076,dev_1,59.24,59.32,0.0799999999999983
0.2542177142857143,0.09926948571428573,dev_1,59.33,59.59,0.2600000000000051
0.25540799999999997,0.10575749999999999,dev_1,59.61,59.76,0.14999999999999858
-0.2109248,0.008174294,dev_1,68.11,68.25,0.14000000000000057
-0.209175,0.007424294999999999,dev_1,68.3,68.4,0.10000000000000853
-0.07371430368421053,0.017139203157894738,dev_1,68.41,69.15,0.7400000000000091
0.11151933333333332,0.04006316666666667,dev_1,69.2,69.32,0.11999999999999034
0.1506465,0.04129335,dev_1,69.36,69.84,0.480000000000004
0.18707492857142857,0.04248383571428572,dev_1,69.88,70.37,0.4900000000000091
0.1967975,0.04895206666666666,dev_1,70.41,70.62,0.21000000000000796
